yearID,lgID,teamID,franchID,name,park,attendance,BA,2B,3B,HR,teamIDBR,teamIDlahman45,teamIDretro,Capacity,Type,Surface,LLd,LFd,LCd,CFd,RCd,RFd,RLd,LLh,LFh,LCh,CFh,RCh,RFh,RLh,BA LH,2B LH,3B LH,HR LH,BA RH,2B RH,3B RH,HR RH,BA Overall,2B Overall,3B Overall,HR Overall,path
1884,UA,ALT,ALT,Altoona Mountain City,Columbia Park,0,1.088515707,1,1,1.088515707,ALT,ALT,ALT,10000,o,g,340,360,380,400,380,360,340,9,9,9,9,9,9,9,1.044257854,1,1,1.044257854,1.044257854,1,1,1.044257854,1.044257854,1,1,1.044257854,columbia_park
1961,AL,LAA,ANA,Los Angeles Angels,LA Wrigley Field 1961,603510,1.164690037,1,1,1.164690037,LAA,LAA,LAA,20457,o,g,340,343,345,412,345,342,339,15,15,15,12,9,9,9,1.004258556,1.11969526,0.761474793,1.326659778,1.032341498,1.019868208,1.189136126,1.622488736,1.021681156,1.048835048,0.904400258,1.486913686,la_wrigley_field_1961
1962,AL,LAA,ANA,Los Angeles Angels,Dodger Stadium,1144063,0.956515978,1,1,0.956515978,LAA,LAA,LAA,56000,o,g,330,370,390,410,390,370,330,4,4,10,10,10,4,4,1.034227317,0.998494758,0.942105263,0.734514371,0.982162442,0.968392704,0.93603061,0.808399441,1.003758383,0.97896648,0.940410163,0.772713433,dodger_stadium_1962-2013
1963,AL,LAA,ANA,Los Angeles Angels,Dodger Stadium,821015,0.91297428,1,1,0.91297428,LAA,LAA,LAA,56000,o,g,330,370,390,410,390,370,330,4,4,10,10,10,4,4,1.009305183,0.972087976,0.887844547,0.74931117,0.986306964,0.952746257,0.934694951,0.767226565,0.995779804,0.960203811,0.91504544,0.75977622,dodger_stadium_1962-2013
1964,AL,LAA,ANA,Los Angeles Angels,Dodger Stadium,760439,0.888767593,1,1,0.888767593,LAA,LAA,LAA,56000,o,g,330,370,390,410,390,370,330,4,4,10,10,10,4,4,0.983376584,0.943989237,0.807847834,0.744102488,0.993672187,0.917020998,0.955122149,0.760698795,0.989535554,0.926507325,0.886292888,0.753938577,dodger_stadium_1962-2013
1965,AL,CAL,ANA,California Angels,Dodger Stadium,566727,0.888725802,1,1,0.888725802,CAL,CAL,CAL,56000,o,g,330,370,390,410,390,370,330,4,4,10,10,10,4,4,0.961271677,0.911904762,0.757601477,0.809663967,1.011345294,0.913589023,0.969690338,0.754926596,0.992000163,0.912973576,0.860873374,0.770352927,dodger_stadium_1962-2013
1966,AL,CAL,ANA,California Angels,Anaheim Stadium,1400321,0.964557012,1,1,0.964557012,CAL,CAL,CAL,43500,o,g,333,354,375,406,375,354,333,10,10,10,10,10,10,10,0.994885585,0.968131206,0.875165856,0.932763701,0.970418947,0.933785802,1.079303895,0.943328749,0.978974851,0.945715117,0.992495712,0.939964338,anaheim_stadium_1966-1979
1967,AL,CAL,ANA,California Angels,Anaheim Stadium,1317713,0.957106879,1,1,0.957106879,CAL,CAL,CAL,43500,o,g,333,354,375,406,375,354,333,10,10,10,10,10,10,10,0.968148687,0.956991075,0.821230335,0.954736335,0.966520472,0.928772936,1.023803019,0.988059885,0.967504137,0.938686087,0.939640167,0.976190874,anaheim_stadium_1966-1979
1968,AL,CAL,ANA,California Angels,Anaheim Stadium,1025956,0.957650395,1,1,0.957650395,CAL,CAL,CAL,43500,o,g,333,354,375,406,375,354,333,10,10,10,10,10,10,10,0.957905803,0.968444032,0.804780877,1.006092479,0.972240403,0.967740073,0.959978007,1.033832636,0.966618897,0.968271142,0.894579481,1.022064914,anaheim_stadium_1966-1979
1969,AL,CAL,ANA,California Angels,Anaheim Stadium,758388,0.937219447,1,1,0.937219447,CAL,CAL,CAL,43500,o,g,333,354,375,406,375,354,333,10,10,10,10,10,10,10,0.964015992,0.90873286,0.846640161,0.923929361,0.984040351,0.96053892,0.954002861,0.953421433,0.976161137,0.942405175,0.906702961,0.942947737,anaheim_stadium_1966-1979
1970,AL,CAL,ANA,California Angels,Anaheim Stadium,1077741,0.947229221,1,1,0.947229221,CAL,CAL,CAL,43500,o,g,333,354,375,406,375,354,333,10,10,10,10,10,10,10,0.980507573,0.95840445,0.997977921,0.90877894,0.988061376,0.938995822,1.025337909,0.91943296,0.985163032,0.945624761,1.013271783,0.915430572,anaheim_stadium_1966-1979
1971,AL,CAL,ANA,California Angels,Anaheim Stadium,926373,0.898917254,1,1,0.898917254,CAL,CAL,CAL,43500,o,g,333,354,375,406,375,354,333,10,10,10,10,10,10,10,0.965374858,0.912004131,0.947341893,0.808503283,0.983150773,0.918682229,1.0140625,0.848714841,0.976948115,0.916608836,0.98821628,0.835078509,anaheim_stadium_1966-1979
1972,AL,CAL,ANA,California Angels,Anaheim Stadium,744190,0.920525693,1,1,0.920525693,CAL,CAL,CAL,43500,o,g,333,354,375,406,375,354,333,10,10,10,10,10,10,10,0.968858429,0.996620944,1.098397582,0.847958083,0.974756942,0.887308568,0.98903835,0.908686484,0.972460536,0.919541389,1.035459556,0.887566022,anaheim_stadium_1966-1979
1973,AL,CAL,ANA,California Angels,Anaheim Stadium,1058206,0.895954121,1,1,0.895954121,CAL,CAL,CAL,43500,o,g,333,351,369,406,369,351,333,8,8,8,8,8,8,8,0.957304896,0.914707683,0.941332407,0.826905967,0.977213849,0.885663914,0.915183867,0.918204762,0.969852924,0.895353461,0.927373824,0.888503086,anaheim_stadium_1966-1979
1974,AL,CAL,ANA,California Angels,Anaheim Stadium,917269,0.92680901,1,1,0.92680901,CAL,CAL,CAL,43500,o,g,333,354,374,406,374,354,333,8,8,8,8,8,8,8,0.979133095,0.960409555,0.86094924,0.911124678,0.97927356,0.88943286,0.898720179,0.926602591,0.979169755,0.914465759,0.879277833,0.919960531,anaheim_stadium_1966-1979
1975,AL,CAL,ANA,California Angels,Anaheim Stadium,1058163,0.910095013,1,1,0.910095013,CAL,CAL,CAL,43500,o,g,333,354,374,406,374,354,333,8,8,8,8,8,8,8,0.974166795,0.952232111,0.815001547,0.867969912,0.976965363,0.910983941,0.883284396,0.874418081,0.975959184,0.927122155,0.846249164,0.87129311,anaheim_stadium_1966-1979
1976,AL,CAL,ANA,California Angels,Anaheim Stadium,1006774,0.918587734,1,1,0.918587734,CAL,CAL,CAL,43500,o,g,333,354,374,406,374,354,333,8,8,8,8,8,8,8,0.99122763,0.982051282,0.740459853,0.839880828,0.98052916,0.920797851,0.921994149,0.939435986,0.985011378,0.943734969,0.825052874,0.897739096,anaheim_stadium_1966-1979
1977,AL,CAL,ANA,California Angels,Anaheim Stadium,1432633,0.944692308,1,1,0.944692308,CAL,CAL,CAL,43500,o,g,333,354,374,406,374,354,333,8,8,8,8,8,8,8,0.996281408,0.969825011,0.850007596,0.876976458,1.00224761,0.937408204,0.885215459,0.984510534,0.999839668,0.949537101,0.86939287,0.943646444,anaheim_stadium_1966-1979
1978,AL,CAL,ANA,California Angels,Anaheim Stadium,1755386,0.948712445,1,1,0.948712445,CAL,CAL,CAL,43500,o,g,333,354,374,406,374,354,333,8,8,8,8,8,8,8,0.999627017,0.954897702,0.799761443,0.900485108,1.009372299,0.928115843,0.808392869,0.991084805,1.005294792,0.937993095,0.804360109,0.959685798,anaheim_stadium_1966-1979
1979,AL,CAL,ANA,California Angels,Anaheim Stadium,2523575,0.96056485,1,1,0.96056485,CAL,CAL,CAL,43500,o,g,333,354,374,402,374,354,333,8,8,8,8,8,8,8,0.985057348,0.980362855,0.876984385,0.96673725,1.014666536,0.941862886,0.714359112,0.937975242,1.00275454,0.956606765,0.779584902,0.948070409,anaheim_stadium_1966-1979
1980,AL,CAL,ANA,California Angels,Anaheim Stadium,2297327,0.974660222,1,1,0.974660222,CAL,CAL,CAL,64593,o,g,333,354,374,404,374,354,333,8,8,8,8,8,8,8,0.982787223,1.013474514,0.732232232,0.948352913,0.999150382,0.959682708,0.710604533,0.930172474,0.993061021,0.978995435,0.718743996,0.937027215,anaheim_stadium_1980-1999
1981,AL,CAL,ANA,California Angels,Anaheim Stadium,1441545,1.003171609,1,1,1.003171609,CAL,CAL,CAL,64593,o,g,333,354,374,404,374,354,333,8,8,8,8,8,10,10,0.986617495,1.034617207,0.757659415,1.059463479,1.00517806,0.97532784,0.734378826,0.99939226,0.998198226,0.996055361,0.743545253,1.018938653,anaheim_stadium_1980-1999
1982,AL,CAL,ANA,California Angels,Anaheim Stadium,2807360,1.000996196,1,1,1.000996196,CAL,CAL,CAL,64593,o,g,333,354,374,404,374,354,333,8,8,8,8,8,10,10,0.995203634,1.009950552,0.72990991,1.111545351,0.991010212,0.998808887,0.767872794,1.02948758,0.992872968,1.002370081,0.752306402,1.055742297,anaheim_stadium_1980-1999
1983,AL,CAL,ANA,California Angels,Anaheim Stadium,2555016,0.98720494,1,1,0.98720494,CAL,CAL,CAL,64593,o,g,333,354,374,404,374,354,333,8,8,8,8,8,10,10,0.979582905,0.952528422,0.749975505,1.179943519,0.98363267,0.953187345,0.7708362,1.055230751,0.981903363,0.95282101,0.762007624,1.100338001,anaheim_stadium_1980-1999
1984,AL,CAL,ANA,California Angels,Anaheim Stadium,2402997,0.991019119,1,1,0.991019119,CAL,CAL,CAL,64593,o,g,333,354,374,404,374,354,333,8,8,8,8,8,10,10,0.970372195,0.94754828,0.78504426,1.129403492,0.969786325,0.964823981,0.721469238,1.066378585,0.969702678,0.957782459,0.750255128,1.091581975,anaheim_stadium_1980-1999
1985,AL,CAL,ANA,California Angels,Anaheim Stadium,2567427,0.986005263,1,1,0.986005263,CAL,CAL,CAL,64593,o,g,333,354,374,404,374,354,333,8,8,8,8,8,10,10,0.972777721,0.956511782,0.798254364,1.134455295,0.965153342,0.962041301,0.778726708,1.06618996,0.968038294,0.959626809,0.787669982,1.094723623,anaheim_stadium_1980-1999
1986,AL,CAL,ANA,California Angels,Anaheim Stadium,2655872,0.978743292,1,1,0.978743292,CAL,CAL,CAL,64593,o,g,333,354,374,404,374,354,333,8,8,8,8,8,10,10,0.97033745,0.932368925,0.894178262,1.112363592,0.971382531,0.962903283,0.767411643,1.045649871,0.970675468,0.948384457,0.825015807,1.075020438,anaheim_stadium_1980-1999
1987,AL,CAL,ANA,California Angels,Anaheim Stadium,2696299,0.956520508,1,1,0.956520508,CAL,CAL,CAL,64593,o,g,333,354,374,404,374,354,333,8,8,8,8,8,10,10,0.975397822,0.911610626,0.82041354,1.123246211,0.981749001,0.958224291,0.873701645,1.015503664,0.978570788,0.934674681,0.845805348,1.06255232,anaheim_stadium_1980-1999
1988,AL,CAL,ANA,California Angels,Anaheim Stadium,2340925,0.963058555,1,1,0.963058555,CAL,CAL,CAL,64593,o,g,333,354,374,404,374,354,333,8,8,8,8,8,10,10,0.962656147,0.897420197,0.926674886,1.144171176,0.99450222,0.969953787,0.872266764,1.022174999,0.978962941,0.932988009,0.8970843,1.076194834,anaheim_stadium_1980-1999
1989,AL,CAL,ANA,California Angels,Anaheim Stadium,2647291,0.974756881,1,1,0.974756881,CAL,CAL,CAL,64593,o,g,333,352,370,404,370,352,333,8,8,8,8,8,10,10,0.969796777,0.941449758,0.879741727,1.113463839,0.99756247,0.970273426,0.897276452,1.093806901,0.984567431,0.956726897,0.883978532,1.102805099,anaheim_stadium_1980-1999
1990,AL,CAL,ANA,California Angels,Anaheim Stadium,2555688,0.963592976,1,1,0.963592976,CAL,CAL,CAL,64593,o,g,333,352,370,404,370,352,333,8,8,8,8,8,10,10,0.948807575,0.947569674,0.989741893,1.118659615,0.99070708,0.968350122,0.845079345,1.114372188,0.972055081,0.959826087,0.907616667,1.11666609,anaheim_stadium_1980-1999
1991,AL,CAL,ANA,California Angels,Anaheim Stadium,2416236,0.994611777,1,1,0.994611777,CAL,CAL,CAL,64593,o,g,333,352,370,404,370,352,333,8,8,8,8,8,10,10,0.960783939,0.964605425,0.955252275,0.988331838,1.003358207,0.923307071,0.792101233,1.067028228,0.986044527,0.938621537,0.8572812,1.044184848,anaheim_stadium_1980-1999
1992,AL,CAL,ANA,California Angels,Anaheim Stadium,2065444,1.004774439,1,1,1.004774439,CAL,CAL,CAL,64593,o,g,333,352,370,404,370,352,333,8,8,8,8,8,10,10,0.95726015,0.937316655,0.878920635,1.005231843,1.004017445,0.947563974,0.828618421,1.048030056,0.985649891,0.943634757,0.847012163,1.035026765,anaheim_stadium_1980-1999
1993,AL,CAL,ANA,California Angels,Anaheim Stadium,2057460,1.047466263,1,1,1.047466263,CAL,CAL,CAL,64593,o,g,333,352,370,404,370,352,333,8,8,8,8,8,10,10,0.990873668,0.991790359,0.887138541,1.079322816,1.006994064,0.944109901,0.853570171,1.079612086,1.001020879,0.960162922,0.867968324,1.079121043,anaheim_stadium_1980-1999
1994,AL,CAL,ANA,California Angels,Anaheim Stadium,1512622,1.021807829,1,1,1.021807829,CAL,CAL,CAL,64593,o,g,333,352,370,404,370,352,333,8,8,8,8,8,10,10,1.000228094,0.953275101,0.880668934,1.115082537,0.978404833,0.988555916,0.823014384,1.081134132,0.987102688,0.973637509,0.84812828,1.095106977,anaheim_stadium_1980-1999
1995,AL,CAL,ANA,California Angels,Anaheim Stadium,1748680,0.993152349,1,1,0.993152349,CAL,CAL,CAL,64593,o,g,333,352,370,404,370,352,333,8,8,8,8,8,10,10,0.998742304,0.962334035,0.941542289,1.092170694,0.968488617,0.999842897,0.7114703,1.101891798,0.981231521,0.982614511,0.786534361,1.097951981,anaheim_stadium_1980-1999
1996,AL,CAL,ANA,California Angels,Anaheim Stadium,1820521,1.003829985,1,1,1.003829985,CAL,CAL,CAL,64593,o,g,333,352,370,404,370,352,333,8,8,8,8,8,10,10,1.001137652,0.989081858,0.8851963,1.112745344,0.973964735,1.000039911,0.708444445,1.097516577,0.985927842,0.994949927,0.779103608,1.103866297,anaheim_stadium_1980-1999
1997,AL,ANA,ANA,Anaheim Angels,Edison International Field,1767330,0.998394845,1,1,0.998394845,ANA,ANA,ANA,33851,o,g,330,348,386,404,372,364,333,8,8,8,8,8,10,10,0.997779283,0.98917163,0.949509065,1.031181838,0.981495522,0.987029978,0.800527009,1.098273032,0.988700547,0.988515665,0.870137866,1.067587442,anaheim_stadium_1980-1999
1998,AL,ANA,ANA,Anaheim Angels,Edison International Field,2519280,1.006202624,1,1,1.006202624,ANA,ANA,ANA,45054,o,g,330,348,396,408,375,375,330,8,8,8,8,8,18,18,1.000928907,1.014057953,1.155965757,1.053010268,0.979661519,0.993139865,0.841273975,1.046403157,0.989461156,1.002979498,0.982015643,1.049129813,anaheim_stadium_1980-1999
1999,AL,ANA,ANA,Anaheim Angels,Edison International Field,2253123,0.990919957,1,1,0.990919957,ANA,ANA,ANA,45054,o,g,330,348,387,400,375,365,330,8,8,8,8,8,18,18,1.005084982,0.994792051,1.003407254,0.990184465,0.986335664,0.979724664,0.843839352,1.041769879,0.995202483,0.98687395,0.934380159,1.016911786,anaheim_stadium_1980-1999
