YEAR,AB,Hits,Doubles,Triples,Homeruns,BB,HBP,K,SB,CS,SAC,OBP,SLG,OPS,SBAperRFB,SB%,Runs Per Game,FLD%,DP,GIDP,GIDP/DP(league),DPperRFB,OF PutOuts/(IPouts-K),OF Assists/(IPouts-K),ERA,IPouts,WHIP,K:BB ratio,IPouts/GS,IPouts/RA,GB:FB,GB%,CG%,SHO per Win,SV per Win,Wild Pitches,Wild Pitches per IPout,Balks/IPouts,Passed Balls/IPouts,SF/(IPouts-K),Runs per 27 IPouts,BFP,BFP per 27 outs,Relief Appearances,Pickoffs per RFB,ERC,XBT,LF Assists per Ipout-K,CF Assists per Ipout-K,RF Assists per Ipout-K,C FLD,1B FLD,2B FLD,3B FLD,SS FLD,OF FLD,P FLD,LF FLD,CF FLD,RF FLD,DefEff Spread (Max - Min),BABIP Against Spread,PH AB per AB,Sac Bunt Success Rate,Position Player SAC Bunts,Estimated  OF AO percentage,Estimated IF AO percentage,Pitcher AB,P AB/Total AB,Position Player SAC/AB,Pitcher SAC/AB,SP ERA,RP ERA,Relief Appearances per 27 IPouts,Singles,Infield Swinging Singles NonBunt (estiamted 1871-1987),Bunt Singles (estimated 1871-1987),Infield Swinging Singles/Total Singles,Bunt Singles/Total Singles,MLB pBABIP,IBB
1870,10822,3101,434,239,47,393,108,175,441,123,230,0.312,0.384,0.695,0.195697432,0.781914894,10.46850394,0.833,146,74,0.506849315,0.050659264,0.216273764,0.013536122,4.22,6750,1.553,0.445292621,26.03149606,6,0.774251992,0.436382202,0.909448819,0.032,0.033333333,208,0.030814815,0.000296296,0.072592593,0.008650951,10.636,11215,44.86,23,0.003825468,4.69,0.5,0.005475285,0.004258555,0.003802281,0.841684822,0.929349736,0.824126268,0.700914849,0.780557135,0.831590534,0.861513688,0.834008097,0.8544,0.796008869,0.06,0.076626484,0.004,0.975743855,204,0.391039419,0.608960581,1073,0.09914988,0.020925223,0.024231128,4.16,6.55,0.092,2381,288,77,0.120957581,0.032339353,0.322,13
1871,10822,3101,434,239,47,393,108,175,441,123,230,0.312,0.384,0.695,0.195697432,0.781914894,10.46850394,0.833,146,74,0.506849315,0.050659264,0.216273764,0.013536122,4.22,6750,1.553,0.445292621,26.03149606,6,0.774251992,0.436382202,0.909448819,0.032,0.033333333,208,0.030814815,0.000296296,0.072592593,0.008650951,10.636,11215,44.86,23,0.003825468,4.69,0.5,0.005475285,0.004258555,0.003802281,0.841684822,0.929349736,0.824126268,0.700914849,0.780557135,0.831590534,0.861513688,0.834008097,0.8544,0.796008869,0.06,0.076626484,0.004,0.975743855,204,0.391039419,0.608960581,1073,0.09914988,0.020925223,0.024231128,4.16,6.55,0.092,2381,288,77,0.120957581,0.032339353,0.322,13
1872,15663,4467,581,145,37,263,153,265,269,134,333,0.297,0.348,0.645,0.097815534,0.667493797,9.262295082,0.837,189,97,0.513227513,0.045873786,0.209840509,0.012509121,3.65,9858,1.439,1.007604563,26.32240437,6.054054054,0.773309711,0.436082714,0.893442623,0.056,0.039325843,202,0.020490972,0.000202881,0.029316291,0.00839362,9.284844796,15928,43.62507608,37,0.003907314,4.19,0.5,0.004795163,0.004482435,0.003023038,0.84664401,0.930017069,0.825819672,0.757674419,0.774250441,0.822872545,0.814159292,0.840909091,0.828421053,0.781725888,0.127,0.097754935,0.004,0.97462172,296,0.378508543,0.621491457,1505,0.096086318,0.020906908,0.024584718,3.53,4.13,0.101339014,3704,449,111,0.121220302,0.029967603,0.321,8
1873,16959,4926,570,211,47,335,167,278,314,131,359,0.304,0.357,0.661,0.09673913,0.705617978,8.994974874,0.83,263,122,0.463878327,0.057173913,0.211626575,0.016132111,3.4,10754,1.468,0.829850746,26.50753769,6,0.853808912,0.460570076,0.909547739,0.041,0.045685279,124,0.011530593,9.30E-05,0.038497303,0.008465063,8.988283429,17294,43.41993677,34,0.003818449,4.3,0.5,0.005154639,0.005345552,0.005727377,0.840634126,0.924886682,0.830758175,0.738691438,0.778723404,0.804853387,0.805845511,0.823296355,0.81871345,0.749631811,0.08,0.046841619,0.004,0.975411286,319,0.397462365,0.602537635,1655,0.097598,0.020844224,0.024169184,3.35,4.31,0.085363586,4098,497,120,0.121278673,0.029282577,0.323,11
1874,19104,5224,634,194,40,238,186,357,242,97,412,0.282,0.333,0.616,0.070920502,0.713864307,7.478448276,0.827,221,107,0.484162896,0.04623431,0.215437788,0.016458196,2.19,12509,1.31,1.5,26.65517241,5.64,0.83665234,0.455531143,0.94612069,0.065,0.012987013,127,0.01015269,0,0.028699336,0.008617512,7.489807339,19342,41.74866096,25,0.00427742,3.5,0.5,0.004279131,0.006171824,0.006007242,0.801070192,0.932009167,0.804724409,0.759356287,0.786204406,0.801935117,0.809677419,0.827747989,0.823045267,0.722428748,0.077,0.052114432,0.004,0.971969221,366,0.398868173,0.601131827,2003,0.104847152,0.021402257,0.022965552,2.14,4.3,0.053961148,4356,527,137,0.120982553,0.031450872,0.303,8
1875,26833,6812,839,273,40,249,261,675,629,320,590,0.261,0.31,0.571,0.153808752,0.66280295,6.136231884,0.849,350,142,0.405714286,0.056726094,0.198256594,0.019110416,2.23,18571,1.141,2.710843373,26.2884058,5.917808219,0.853809261,0.460570178,0.9,0.149,0.053731343,330,0.017769641,0.000269237,0.043939476,0.007930264,6.155726671,27082,39.37397017,73,0.004917736,2.66,0.5,0.004470273,0.00597899,0.008661153,0.823099415,0.935575968,0.83669687,0.764102564,0.816185857,0.818392256,0.864983001,0.840563991,0.830659537,0.768163265,0.101,0.033582227,0.004,0.962266612,524,0.374221396,0.625778604,2618,0.097598,0.02163948,0.025210084,2.2,2.83,0.106133218,5660,683,196,0.120671378,0.034628975,0.278,8
1876,20121,5338,633,181,40,336,197,589,800,396,433,0.277,0.321,0.598,0.238389476,0.668896321,5.896153846,0.866,274,179.85,0.656386861,0.054614311,0.221586323,0.019443833,2.31,14218,1.197,1.75297619,26.76538462,6,0.73223044,0.422709602,0.907692308,0.183,0.050583658,187,0.013152342,0,0.031861021,0.008863453,5.822337882,20536,38.99789,50,0.004628809,2.79,0.5,0.005062734,0.006530193,0.007850906,0.805333333,0.942167035,0.863676085,0.806785271,0.865595325,0.847304617,0.873701039,0.851308232,0.873260073,0.803174603,0.129,0.107964622,0.004,0.956090652,385,0.395325015,0.604674985,1963,0.097598,0.021202776,0.024452369,2.28,2.93,0.094950063,4484,543,144,0.121097235,0.032114184,0.284,11
1877,13667,3705,431,204,24,345,135,726,562,278,282,0.289,0.338,0.627,0.238230289,0.669047619,5.666666667,0.884,210,145.2,0.691428571,0.059557572,0.203401134,0.022674225,2.81,9723,1.25,2.104347826,26.425,6,0.911836468,0.476942711,0.905555556,0.113,0.02259887,202,0.020775481,0,0.03692276,0.008136045,5.664918235,14009,38.90188214,35,0.004503942,3.03,0.5,0.006557741,0.008002668,0.008002668,0.876092137,0.951350036,0.867093373,0.841471148,0.864637985,0.831622177,0.915254237,0.854855923,0.835075494,0.79277865,0.081,0.067166955,0.004,0.920319017,251,0.401268579,0.598731421,1333,0.097598,0.020350251,0.023255814,2.77,3.56,0.097192225,3046,369,94,0.121142482,0.030860144,0.295,11
1878,13644,3539,481,132,23,364,135,1081,542,269,275,0.279,0.319,0.598,0.238389183,0.668310727,5.173913043,0.893,233,156.75,0.672746781,0.068489124,0.187268024,0.03250478,2.3,9972,1.174,2.96978022,26.82065217,6,1.174630386,0.54015174,0.956521739,0.139,0.005555556,236,0.023666266,0,0.044424388,0.007490721,5.155234657,14017,37.95216606,17,0.004787654,2.67,0.5,0.006635924,0.009672703,0.016196153,0.891393443,0.955786149,0.873507463,0.863576159,0.877222222,0.833617747,0.887850467,0.840848806,0.855436081,0.802124834,0.023,0.014409392,0.004,0.881156552,244,0.419944282,0.580055718,1331,0.097598,0.019816454,0.023290759,2.27,2.91,0.046028881,2903,351,92,0.120909404,0.031691354,0.289,12
1879,24155,6171,958,317,58,508,238,1843,890,441,492,0.271,0.329,0.599,0.238359599,0.668670173,5.309968847,0.892,384,276.375,0.719726563,0.068767908,0.206135837,0.027977875,2.5,17391,1.152,3.627952756,26.77102804,6,1.134774398,0.531566427,0.948598131,0.142,0.006329114,363,0.020872865,0,0.044620781,0.008245433,5.29256512,24666,38.29463516,34,0.005086909,2.58,0.5,0.006946231,0.008489838,0.012541806,0.888650504,0.952685592,0.896537595,0.830296128,0.871764356,0.837514384,0.900730816,0.837820092,0.860983607,0.809560524,0.06,0.041128423,0.004,0.885551646,437,0.452758137,0.547241863,2357,0.097598,0.020047711,0.023334748,2.46,3.17,0.052785924,4838,584,164,0.120711038,0.033898305,0.287,17
