YEAR,AB,Hits,Doubles,Triples,Homeruns,BB,HBP,K,SB,CS,SAC,OBP,SLG,OPS,SBAperRFB,SB%,Runs Per Game,FLD%,DP,GIDP,GIDP/DP(league),DPperRFB,OF PutOuts/(IPouts-K),OF Assists/(IPouts-K),ERA,IPouts,WHIP,K:BB ratio,IPouts/GS,IPouts/RA,GB:FB,GB%,CG%,SHO per Win,SV per Win,Wild Pitches,Wild Pitches per IPout,Balks/IPouts,Passed Balls/IPouts,SF/(IPouts-K),Runs per 27 IPouts,BFP,BFP per 27 outs,Relief Appearances,Pickoffs per RFB,ERC,XBT,LF Assists per Ipout-K,CF Assists per Ipout-K,RF Assists per Ipout-K,C FLD,1B FLD,2B FLD,3B FLD,SS FLD,OF FLD,P FLD,LF FLD,CF FLD,RF FLD,DefEff Spread (Max - Min),BABIP Against Spread,PH AB per AB,Sac Bunt Success Rate,Position Player SAC Bunts,Estimated  OF AO percentage,Estimated IF AO percentage,Pitcher AB,P AB/Total AB,Position Player SAC/AB,Pitcher SAC/AB,SP ERA,RP ERA,Relief Appearances per 27 IPouts,Singles,Infield Swinging Singles NonBunt (estiamted 1871-1987),Bunt Singles (estimated 1871-1987),Infield Swinging Singles/Total Singles,Bunt Singles/Total Singles,MLB pBABIP
YEAR,AB,Hits,Doubles,Triples,Homeruns,BB,HBP,K,SB,CS,SAC,OBP,SLG,OPS,SBAperRFB,SB%,Runs Per Game,FLD%,DP,GIDP,GIDP/DP(league),DPperRFB,OF PutOuts/(IPouts-K),OF Assists/(IPouts-K),ERA,IPouts,WHIP,K:BB ratio,IPouts/GS,IPouts/RA,GB:FB,GB%,CG%,SHO per Win,#VALUE!,Wild Pitches,Wild Pitches per IPout,Balks/IPouts,Passed Balls/IPouts,SF/(IPouts-K),Runs per 27 IPouts,BFP,BFP per 27 outs,Relief Appearances,Pickoffs per RFB,ERC,XBT,LF Assists per Ipout-K,CF Assists per Ipout-K,RF Assists per Ipout-K,C FLD,1B FLD,2B FLD,3B FLD,SS FLD,OF FLD,P FLD,LF FLD,CF FLD,RF FLD,DefEff Spread (Max - Min),BABIP Against Spread,PH AB per AB,Sac Bunt Success Rate,Position Player SAC Bunts,Estimated  OF AO percentage,Estimated IF AO percentage,Pitcher AB,P AB/Total AB,Position Player SAC/AB,Pitcher SAC/AB,SP ERA,RP ERA,Relief Appearances per 27 IPouts,Singles,Infield Swinging Singles NonBunt (estiamted 1871-1987),Bunt Singles (estimated 1871-1987),Infield Swinging Singles/Total Singles,Bunt Singles/Total Singles,MLB pBABIP,G
1982,16026,4247,726,95,362,1604,228,1903,700,311,214,0.338,0.39,0.728,0.142973856,0.692383778,4.733333333,,,306,,,,,3.88,12754,1.38,1.186408978,26.68200837,5.613556338,,,0.274058577,0.108786611,0.225941423,103,0.008075898,0.003449898,,0.00742973,4.809785165,18208,38.54602478,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,19957,5103,805,108,403,1757,292,2358,498,351,386,0.323,0.367,0.69,0.085332419,0.586572438,4.018333333,,,405,,,,,3.28,16172,1.27,1.34206033,26.95333333,6.707590212,,,0.34,0.142372881,0.257627119,95,0.005874351,0.002040564,,0.007361373,4.025290626,22546,37.64172644,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,19703,4995,824,115,383,1937,261,2651,522,338,342,0.326,0.365,0.691,0.088911599,0.606976744,3.833333333,,,414,,,,,3.27,16036,1.3,1.368611255,26.72666667,6.972173913,,,0.263333333,0.077966102,0.322033898,105,0.006547768,0.000997755,,0.007837878,3.872536792,22399,37.71345722,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,21893,5700,943,109,450,2158,273,2641,632,416,472,0.332,0.375,0.707,0.095338663,0.603053435,4.083333333,,,453,,,,,3.48,17807,1.32,1.222891566,26.98030303,6.60742115,,,0.243939394,0.085626911,0.357798165,140,0.007862077,0.001347785,,0.006761836,4.086314371,24993,37.89582748,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,24879,6234,977,162,397,2415,277,3065,640,462,607,0.322,0.351,0.673,0.086603518,0.58076225,3.671957672,,,537,,,,,3.08,20432,1.27,1.269151139,27.02645503,7.360230548,,,0.267195767,0.145205479,0.353424658,118,0.005775255,0.001517228,,0.007805033,3.668363352,28364,37.48179327,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,25125,6666,1013,176,384,2469,266,2805,661,413,521,0.335,0.365,0.7,0.08444047,0.615456238,3.997354497,,,618,,,,,3.55,20281,1.35,1.136087485,26.82671958,6.711118465,,,0.335978836,0.139344262,0.316939891,108,0.005325181,0.001380603,,0.007711719,4.0231744,28567,38.03111286,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,25255,6769,1044,148,482,2386,266,2834,747,401,547,0.335,0.378,0.713,0.096424422,0.650696864,4.261904762,,,578,,,,,3.8,20249,1.36,1.187761945,26.78439153,6.284605835,,,0.235449735,0.115902965,0.361185984,109,0.005382982,0.001777866,,0.007343095,4.296212159,28655,38.20855351,926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,27781,7136,1169,168,460,3161,292,3793,969,535,540,0.336,0.361,0.697,0.110213831,0.644281915,4.202380952,,,590,,,,,3.73,22598,1.37,1.199936729,26.90238095,6.401699717,,,0.213095238,0.103448276,0.376847291,151,0.006682007,0.00207983,,0.007942568,4.217629879,32030,38.26931587,1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,27607,7084,1170,178,541,3196,345,3763,828,510,558,0.338,0.371,0.709,0.09478022,0.618834081,4.364285714,,,619,,,,,3.87,22451,1.37,1.177409262,26.72738095,6.124113475,,,0.171428571,0.102439024,0.43902439,175,0.007794753,0.001514409,,0.007907748,4.40880139,31961,38.43690704,1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,33237,8514,1443,278,711,3684,449,4797,1015,617,654,0.336,0.38,0.716,0.099363681,0.621936275,4.401785714,,,722,,,,,3.96,26942,1.36,1.302117264,26.7281746,6.072120802,,,0.214285714,0.085192698,0.39148073,231,0.008573974,0.002227006,,0.008180628,4.446551852,38291,38.37343182,1428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,33563,8872,1479,239,871,3871,446,5049,844,447,623,0.346,0.401,0.747,0.079622642,0.653756778,4.762896825,,,834,,,,,4.32,26780,1.43,1.304314131,26.56746032,5.578004582,,,0.204365079,0.08266129,0.379032258,313,0.011687827,0.000448096,,0.007877686,4.840440627,38797,39.11572069,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,33010,8145,1337,180,552,3258,418,5294,934,521,699,0.32,0.348,0.668,0.095775226,0.641924399,3.688492063,,,773,,,,,3.27,27030,1.27,1.624923266,26.81547619,7.270037655,,,0.225198413,0.117283951,0.46090535,201,0.007436182,0.000887902,,0.008081064,3.713873474,37649,37.60721421,1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,33221,8540,1397,179,666,3167,445,5259,995,528,709,0.327,0.37,0.697,0.100403633,0.653315824,4.152777778,,,681,,,,,3.74,26810,1.31,1.660562046,26.59722222,6.404682274,,,0.170634921,0.088888889,0.511111111,272,0.010145468,0.000820589,,0.008315623,4.215665796,37828,38.09608355,1484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,33393,8381,1425,221,680,3123,514,5599,1012,455,602,0.322,0.368,0.69,0.104416013,0.689843217,4.154761905,,,680,,,,,3.71,26972,1.28,1.79282741,26.75793651,6.440305635,,,0.172619048,0.092213115,0.491803279,283,0.010492362,0.001075189,,0.008361016,4.19234762,37945,37.98439122,1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,33234,8342,1506,197,686,3307,573,5904,909,530,741,0.327,0.37,0.697,0.092443812,0.631688673,4.12797619,,,692,,,,,3.69,27056,1.29,1.785303901,26.84126984,6.502283105,,,0.119047619,0.077868852,0.463114754,288,0.010644589,0.000850089,,0.007906108,4.15238764,38138,38.05906268,2043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,33091,8532,1577,170,834,3380,566,5840,966,529,808,0.334,0.391,0.725,0.097605335,0.646153846,4.41765873,,,715,,,,,4.02,26846,1.33,1.727810651,26.63293651,6.028744667,,,0.075396825,0.036585366,0.589430894,339,0.01262758,0.001117485,,0.008075788,4.47854429,38142,38.36079863,2307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,33540,8745,1597,172,891,3163,508,6094,794,430,698,0.331,0.398,0.729,0.081385814,0.64869281,4.410714286,,,744,,,,,3.99,26830,1.33,1.926651913,26.61706349,6.034637877,,,0.077380952,0.046464646,0.464646465,344,0.012821469,0.000521804,,0.00816358,4.474170704,38180,38.42191577,2322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,36160,9995,1722,206,1274,3796,592,6650,934,426,639,0.352,0.441,0.793,0.083534568,0.686764706,5.382575758,,,769,,,,,4.98,28219,1.47,1.751844046,26.72253788,4.964637579,,,0.053977273,0.021442495,0.512670565,434,0.015379709,0.00209079,,0.008110251,5.438463447,41508,39.71494383,2757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,36308,9792,1804,159,1132,3925,536,6913,747,359,516,0.347,0.422,0.769,0.066947482,0.675406872,5.051691729,,,836,,,,,4.64,28430,1.45,1.761273885,26.71992481,5.289302326,,,0.044172932,0.023121387,0.543352601,401,0.014104819,0.00137179,,0.008368267,5.104642983,41605,39.51231094,2594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
