YEAR,coefficient,cashmaximum,avgcoach,minplayer,superstar,star,good,aboveavg,avg,belowavg,fair,poor,media,KBOAvgAttend,SuggTicket
1982,1.02,500000,20000,15000,150000,100000,70000,50000,30000,20000,17000,16000,100000,7000,1.665
1983,1.02,530475,20781,15306,161090,105635,73355,52179,30872,20441,17350,16312,108000,7128,1.73
1984,1.02,562807,21593,15618,173000,111588,76870,54453,31770,20892,17707,16630,116600,7259,1.8
1985,1.02,597110,22437,15936,185790,117877,80554,56827,32694,21353,18071,16954,125800,7392,1.87
1986,1.02,633504,23313,16261,199526,124520,84415,59303,33645,21824,18443,17285,135900,7527,1.945
1987,1.02,672116,24224,16592,214277,131537,88461,61888,34623,22305,18823,17622,146700,7665,2.02
1988,1.02,713081,25170,16930,230119,138950,92700,64585,35630,22797,19210,17965,158400,7805,2.095
1989,1.02,756543,26153,17275,247132,146780,97143,67400,36666,23300,19606,18315,171000,7948,2.18
1990,1.02,802654,27175,17627,265403,155052,101798,70338,37733,23814,20009,18672,184600,8094,2.265
1991,1.02,851575,28236,17986,285025,163789,106677,73403,38830,24339,20421,19037,199300,8242,2.355
1992,1.02,903479,29339,18353,306098,173020,111789,76603,39959,24876,20841,19408,215200,8393,2.445
1993,1.02,958545,30486,18727,328728,182770,117147,79941,41121,25424,21270,19786,232300,8546,2.54
1994,1.02,1016969,31676,19109,353032,193070,122761,83426,42317,25985,21708,20172,250800,8703,2.64
1995,1.02,1078952,32914,19498,379133,203950,128645,87062,43548,26558,22155,20565,270800,8862,2.745
1996,1.02,1144714,34200,19895,407163,215443,134810,90856,44814,27144,22611,20966,292400,9025,2.85
1997,1.02,1214484,35535,20301,437265,227585,141271,94816,46117,27743,23076,21375,315700,9190,2.96
1998,1.02,1288507,36924,20714,469593,240410,148041,98948,47458,28355,23551,21791,340800,9358,3.075
1999,1.02,1367041,38366,21137,504311,253958,155136,103261,48839,28980,24036,22216,368000,9530,3.195
2000,1.02,1450361,39865,21567,541596,268270,162571,107761,50259,29619,24531,22649,397300,9704,3.32
2001,1.02,1538761,41422,22007,581638,283388,170362,112458,51720,30273,25036,23091,428900,9882,3.45
2002,1.02,1632548,43040,22455,624639,299358,178527,117359,53224,30940,25551,23541,463100,10063,3.585
2003,1.02,1732051,44721,22913,670820,316228,187083,122474,54772,31623,26077,24000,500000,10247,3.725
2004,1.02,1837619,46468,23380,720416,334048,196049,127812,56365,32320,26614,24468,539800,10435,3.87
2005,1.02,1949621,48284,23856,773678,352874,205445,133383,58004,33033,27161,24945,582800,10626,4.025
2006,1.02,2068450,50170,24342,830877,372759,215291,139196,59691,33762,27720,25431,629200,10820,4.18
2007,1.02,2194521,52130,24838,892306,393766,225608,145263,61427,34506,28291,25927,679400,11018,4.345
2008,1.02,2328277,54166,25345,958276,415956,236421,151594,63213,35267,28873,26432,733500,11220,4.515
2009,1.02,2470184,56282,25861,1029124,439397,247751,158201,65052,36045,29467,26948,791900,11426,4.69
2010,1.02,2620741,58480,26388,1105209,464159,259625,165096,66943,36840,30074,27473,855000,11635,4.875
2011,1.02,2780475,60765,26926,1186920,490316,272067,172292,68890,37653,30693,28009,923100,11848,5.065
2012,1.02,2949944,63139,27475,1274672,517947,285106,179801,70893,38483,31325,28555,996600,12065,5.26
2013,1.02,3129742,65605,28035,1368911,547136,298770,187638,72955,39332,31969,29111,1076000,12286,5.465
2014,1.02,3320499,68168,28606,1470118,577969,313089,195816,75077,40200,32627,29679,1161700,12511,5.68
2015,1.02,3522882,70831,29189,1578807,610540,328093,204350,77260,41086,33299,30258,1254200,12740,5.905
2016,1.02,3737601,73597,29784,1695532,644947,343817,213256,79507,41993,33984,30848,1354100,12973,6.135
2017,1.02,3965406,76472,30391,1820887,681292,360295,222551,81819,42919,34684,31449,1462000,13211,6.375
2018,1.02,4207097,79460,31010,1955509,719686,377562,232251,84198,43865,35398,32062,1578500,13453,6.62
2019,1.02,4463518,82564,31642,2100084,760243,395657,242373,86647,44833,36126,32687,1704200,13699,6.88
2020,1.02,4735568,85789,32287,2255348,803086,414619,252937,89167,45822,36870,33324,1839900,13950,7.15
2021,1.02,5024199,89140,32945,2422091,848343,434489,263961,91760,46832,37628,33974,1986500,14205,7.43
2022,1.02,5330423,92622,33616,2601162,896151,455312,275465,94428,47865,38403,34636,2144700,14465,7.72
2023,1.02,5655311,96240,34301,2793472,946652,477133,287471,97174,48921,39193,35312,2315600,14730,8.02
2024,1.02,6000000,100000,35000,3000000,1000000,500000,300000,100000,50000,40000,36000,2500000,15000,8.335
