playerid,lahmanID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,namefirst,namelast,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debut,finalGame,college,lahman40ID,lahman45ID,retroID,holtzID,BBrefMiLBid,DraftValue,Fastball,Changeup,Curve,Slider,Sinker,Splitter,Forkball,Cutter,Knuckleball,KnuckleCurve,CircleChange,Screwball,pexp,cexp,1bexp,2bexp,ssexp,3bexp,lfexp,cfexp,rfexp,infrange,inferror,infarm,infdp,cability,carm,ofrange,oferror,ofarm,Ethnicity,Arm Slot,대학,고교
40339,10339,,,1969,5,26,South Korea,,Daegu,,,,,,,Joon-hyuk,Yang,,,Yangshin,188,74,L,L,1993,2010,Yeungnam University,,,,,50339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,영남,대구상고
40106,10106,,,1987,2,28,South Korea,,Suwon,,,,,,,Jeong,Choi,,,,180,70,R,R,2005,2024,,,,,,50106,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,유신고
40344,10344,,,1983,12,16,South Korea,,Jeonju,,,,,,,Hyung-woo,Choi,,,,180,70,L,R,2002,2024,,,,,,50344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,전주고
40881,10881,,,1976,8,18,South Korea,,Pohang,,,,,,,Seung-yuop,Lee,,,Lion King,183,72,L,L,1995,2017,,,,,,50881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,경북고
40036,10036,,,1970,8,15,South Korea,,Gwangju,,,,,,,Jong-beom,Lee,,,Son of Wind,178,70,R,R,1993,2012,Konkuk University,,,,,50036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,건국,광주제일고
40165,10165,,,1987,6,5,South Korea,,Gwangju,,,,,,,Eui-ji,Yang,,,,180,70,R,R,2006,2024,,,,,,50165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,진흥고
40552,10552,,,1982,5,29,South Korea,,Cheonan,,,,,,,Tae-gyun,Kim,,,,185,72,R,R,2001,2021,Daejeon University,,,,,50552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,대전,북일고
40080,10080,,,1972,7,11,South Korea,,Jeonju,,,,,,,Kyung-wahn,Park,,,Commander,178,70,R,R,1991,2013,,,,,,50080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,전주고
40187,10187,,,1988,1,12,South Korea,,Seoul,,,,,,,Hyun-soo,Kim,,,Hitting Machine,188,74,L,R,2006,2024,,,,,,50187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,,신일고
40232,10232,,,1985,8,18,South Korea,,Pohang,,,,,,,Min-ho,Kang,,,,185,72,R,R,2004,2024,International Digital University,,,,,50232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,국제디지털,포철공고
40032,10032,,,1977,10,18,South Korea,,Seoul,,,,,,,Seong-ho,Jang,,,Sniper,183,72,L,L,1996,2015,Honam University,,,,,50032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asian,4,호남,충암고
