playerid,BBrefMinorsID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,firstname,lastname,nameNote,nameGiven,nameNick,weight,Height,bats,throws,debutYear,finalGame,college,lahmanID,MlbID,SeamheadsRetroID,holtzID,BBrefMLBid,Ethnicity,Arm Slot,,,,,,,,,,
10339,50339,,,1969,5,26,South Korea,,Daegu,,,,,,,Joon-hyuk,Yang,,Joon-Hyuk Yang,Yangshin,188,74,L,L,1993,2010,Yeungnam University,10339,,,,10339,Asian,4,,,,,,,,,,
10106,50106,,,1987,2,28,South Korea,,Suwon,,,,,,,Jeong,Choi,,Jeong Choi,,180,70,R,R,2005,2024,,10106,,,,10106,Asian,4,,,,,,,,,,
10344,50344,,,1983,12,16,South Korea,,Jeonju,,,,,,,Hyung-woo,Choi,,Hyung-Woo Choi,,180,70,L,R,2002,2024,,10344,,,,10344,Asian,4,,,,,,,,,,
10881,50881,,,1976,8,18,South Korea,,Pohang,,,,,,,Seung-yuop,Lee,,Seung-Yuop Lee,Lion King,183,72,L,L,1995,2017,,10881,,,,10881,Asian,4,,,,,,,,,,
10036,50036,,,1970,8,15,South Korea,,Gwangju,,,,,,,Jong-beom,Lee,,Jong-Beom Lee,Son of Wind,178,70,R,R,1993,2012,Konkuk University,10036,,,,10036,Asian,4,,,,,,,,,,
10165,50165,,,1987,6,5,South Korea,,Gwangju,,,,,,,Eui-ji,Yang,,Eui-Ji Yang,,180,70,R,R,2006,2024,,10165,,,,10165,Asian,4,,,,,,,,,,
10552,50552,,,1982,5,29,South Korea,,Cheonan,,,,,,,Tae-gyun,Kim,,Tae-Gyun Kim,,185,72,R,R,2001,2021,Daejeon University,10552,,,,10552,Asian,4,,,,,,,,,,
10080,50080,,,1972,7,11,South Korea,,Jeonju,,,,,,,Kyung-wahn,Park,,Kyung-Wahn Park,,178,70,R,R,1991,2013,,10080,,,,10080,Asian,4,,,,,,,,,,
10187,50187,,,1988,1,12,South Korea,,Seoul,,,,,,,Hyun-soo,Kim,,Hyun-Soo Kim,,188,74,L,R,2006,2024,,10187,,,,10187,Asian,4,,,,,,,,,,
10232,50232,,,1985,8,18,South Korea,,Pohang,,,,,,,Min-ho,Kang,,Min-Ho Kang,,185,72,R,R,2004,2024,International Digital University,10232,,,,10232,Asian,4,,,,,,,,,,
10032,50032,,,1977,10,18,South Korea,,Seoul,,,,,,,Seong-ho,Jang,,Seong-Ho Jang,Sniper,183,72,L,L,1996,2015,Honam University,10032,,,,10032,Asian,4,,,,,,,,,,
10173,50173,,,1976,2,3,South Korea,,Seoul,,,,,,,Dong-joo,Kim,,Dong-Joo Kim,Boss Bear,180,70,R,R,1998,2014,Korea University,10173,,,,10173,Asian,4,,,,,,,,,,
10386,50386,,,1968,10,27,South Korea,,Seoul,,,,,,,Dong-soo,Kim,,Dong-Soo Kim,,180,70,R,R,1990,2009,Hanyang University,10386,,,,10386,Asian,4,,,,,,,,,,
1354,41354,,,1968,4,10,South Korea,,Cheongju,,,,,,,Jong-hoon,Jang,,Jong-Hoon Jang,,186,73,R,R,1987,2005,,1354,,,,1354,Asian,4,,,,,,,,,,
10261,50261,,,1988,3,18,South Korea,,Busan,,,,,,,Ah-sub,Son,,Ah-Sub Son,,174,68,L,R,2007,2024,,10261,,,,10261,Asian,4,,,,,,,,,,
1025,41025,,,1958,9,19,South Korea,,Daegu,,,,,,,Man-soo,Lee,,Man-Soo Lee,Hulk,175,68,R,R,1982,1997,Hanyang University,1025,,,,1025,Asian,4,,,,,,,,,,
10475,50475,,,1990,3,12,South Korea,,Suwon,,,,,,,Ji-hwan,Oh,,Ji-Hwan Oh,,185,72,L,R,2009,2024,,10475,,,,10475,Asian,4,,,,,,,,,,
10109,50109,,,1975,10,2,South Korea,,Seoul,,,,,,,Jae-hyun,Kim,,Jae-Hyun Kim,Cannon,177,69,L,L,1994,2010,,10109,,,,10109,Asian,4,,,,,,,,,,
10418,50418,,,1969,2,15,South Korea,,Changwon,,,,,,,Jun-ho,Jeon,,Jun-Ho Jeon,,180,70,L,L,1991,2009,Yeungnam University,10418,,,,10418,Asian,4,,,,,,,,,,
10113,50113,,,1973,9,7,South Korea,,Gwangju,,,,,,,Jae-hong,Park,,Jae-Hong Park,Little Cuba,176,69,R,R,1996,2012,Yonsei University,10113,,,,10113,Asian,4,,,,,,,,,,
11474,51474,,,1969,5,23,South Korea,,Gwangju,,,,,,,Ki-tae,Kim,,Ki-Tae Kim,,180,70,L,L,1991,2005,Inha University,11474,,,,11474,Asian,4,,,,,,,,,,
10336,50336,,,1979,1,28,South Korea,,Busan,,,,,,,Han-yi,Park,,Han-Yi Park,,182,71,L,L,2001,2019,Dongguk University,10336,,,,10336,Asian,4,,,,,,,,,,
10256,50256,,,1977,2,28,South Korea,,Seoul,,,,,,,Seong-heun,Hong,,Seong-Heun Hong,,180,70,R,R,1999,2016,Kyung Hee University,10256,,,,10256,Asian,4,,,,,,,,,,
10485,50485,,,1979,4,21,South Korea,,Seoul,,,,,,,Yong-taik,Park,,Yong-Taik Park,,185,72,L,R,2002,2022,Korea University,10485,,,,10485,Asian,4,,,,,,,,,,
1811,41811,,,1975,5,5,South Korea,,Seoul,,,,,,,Jung-soo,Sim,,Jung-Soo Sim,Hercules,182,71,R,R,1994,2008,,1811,,,,1811,Asian,4,,,,,,,,,,
10103,50103,,,1982,10,2,South Korea,,Busan,,,,,,,Geun-woo,Jeong,,Geun-Woo Jeong,,172,67,R,R,2005,2020,Korea University,10103,,,,10103,Asian,4,,,,,,,,,,
10251,50251,,,1982,6,21,South Korea,,Changwon,,,,,,,Dae-ho,Lee,,Dae-Ho Lee,Big Boy,194,76,R,R,2001,2022,,10251,,,,10251,Asian,4,,,,,,,,,,
1499,41499,,,1972,9,28,South Korea,,Gwangju,,,,,,,Hyun-woo,Hong,,Hyun-Woo Hong,,180,70,R,R,1990,2005,,1499,,,,1499,Asian,4,,,,,,,,,,
10559,50559,,,1981,11,25,South Korea,,Daegu,,,,,,,Beom-ho,Lee,,Beom-Ho Lee,,183,72,R,R,2000,2019,,10559,,,,10559,Asian,4,,,,,,,,,,
10470,50470,,,1986,7,10,South Korea,,Seongnam,,,,,,,Byung-ho,Park,,Byung-Ho Park,Park Bang,185,72,R,R,2005,2024,,10470,,,,10470,Asian,4,,,,,,,,,,
10322,50322,,,1985,6,22,South Korea,,Daegu,,,,,,,Sok-min,Park,,Sok-Min Park,,178,70,R,R,2004,2024,Daegu Cyber University,10322,,,,10322,Asian,4,,,,,,,,,,
11162,51162,,,1989,10,3,South Korea,,Gwangju,,,,,,,Sung-beom,Na,,Sung-Beom Na,,183,72,L,L,2012,2024,Yonsei University,11162,,,,11162,Asian,4,,,,,,,,,,
10035,50035,,,1985,8,26,South Korea,,Seoul,,,,,,,Yong-gyu,Lee,,Yong-Gyu Lee,,170,66,L,L,2004,2024,,10035,,,,10035,Asian,4,,,,,,,,,,
10491,50491,,,1974,10,25,South Korea,,Seoul,,,,,,,Byeong-kyu,Lee,,Byeong-Kyu Lee,,185,72,L,L,1997,2016,Dankook University,10491,,,,10491,Asian,4,,,,,,,,,,
10323,50323,,,1976,11,30,South Korea,,Incheon,,,,,,,Jin-man,Park,,Jin-Man Park,,178,70,R,R,1996,2015,Kyonggi University,10323,,,,10323,Asian,4,,,,,,,,,,
10492,50492,,,1980,6,15,South Korea,,Gunsan,,,,,,,Jin-young,Lee,,Jin-Young Lee,,185,72,L,L,1999,2018,,10492,,,,10492,Asian,4,,,,,,,,,,
10412,50412,,,1973,3,2,South Korea,,Incheon,,,,,,,Ji-man,Song,,Ji-Man Song,,178,70,R,R,1996,2014,Inha University,10412,,,,10412,Asian,4,,,,,,,,,,
1783,41783,,,1971,5,25,South Korea,,Seoul,,,,,,,Ji-hyun,Ryu,,Ji-Hyun Ryu,,176,69,R,R,1994,2004,Hanyang University,1783,,,,1783,Asian,4,,,,,,,,,,
1142,41142,,,1956,7,6,South Korea,,Daegu,,,,,,,Hyo-jo,Jang,,Hyo-Jo Jang,Master of Batting,175,68,L,L,1983,1992,Hanyang University,1142,,,,1142,Asian,4,,,,,,,,,,
10479,50479,,,1980,6,27,South Korea,,Gwangju,,,,,,,Seong-hun,Jeong,,Seong-Hun Jeong,,182,71,R,R,1999,2018,,10479,,,,10479,Asian,4,,,,,,,,,,
1144,41144,,,1960,7,8,South Korea,,Daejeon,,,,,,,Dae-hwa,Han,,Dae-Hwa Han,Fixer,176,69,R,R,1983,1997,Dongguk University,1144,,,,1144,Asian,4,,,,,,,,,,
11137,51137,,,1993,2,6,South Korea,,Seoul,,,,,,,Min-woo,Park,,Min-Woo Park,,185,72,L,R,2013,2024,,11137,,,,11137,Asian,4,,,,,,,,,,
10407,50407,,,1987,7,28,South Korea,,Suwon,,,,,,,Jae-gyun,Hwang,,Jae-Gyun Hwang,,183,72,R,R,2007,2024,Yeungnam Cyber University,10407,,,,10407,Asian,4,,,,,,,,,,
10014,50014,,,1990,7,2,South Korea,,Seoul,,,,,,,Chi-hong,An,,Chi-Hong An,,178,70,R,R,2009,2024,,10014,,,,10014,Asian,4,,,,,,,,,,
1203,41203,,,1961,3,9,South Korea,,Gongju,,,,,,,Gwang-lim,Kim,,Gwang-Lim Kim,,173,68,L,L,1984,1999,Korea University,1203,,,,1203,Asian,4,,,,,,,,,,
10008,50008,,,1989,12,18,South Korea,,Hwasun,,,,,,,Sun-bin,Kim,,Sun-Bin Kim,,165,64,R,R,2008,2024,,10008,,,,10008,Asian,4,,,,,,,,,,
12726,52726,,,1958,5,18,South Korea,,Gunsan,,,,,,,Sung-han,Kim,,Sung-Han Kim,,178,70,R,R,1982,1995,Dongguk University,12726,,,,12726,Asian,4,,,,,,,,,,
10314,50314,,,1974,5,8,South Korea,,Busan,,,,,,,Kab-yong,Jin,,Kab-Yong Jin,,182,71,R,R,1997,2015,Korea University,10314,,,,10314,Asian,4,,,,,,,,,,
10189,50189,,,1990,9,8,South Korea,,Seoul,,,,,,,Geon-woo,Park,,Geon-Woo Park,,184,72,R,R,2009,2024,,10189,,,,10189,Asian,4,,,,,,,,,,
10892,50892,,,1993,2,12,South Korea,,Daegu,,,,,,,Ja-wook,Koo,,Ja-Wook Koo,,189,74,L,R,2012,2024,,10892,,,,10892,Asian,4,,,,,,,,,,
10101,50101,,,1976,2,8,South Korea,,Gwangju,,,,,,,Ho-jun,Lee,,Ho-Jun Lee,,187,73,R,R,1994,2017,Honam University,10101,,,,10101,Asian,4,,,,,,,,,,
1404,41404,,,1966,1,14,South Korea,,Seoul,,,,,,,Eung-guk,Kim,,Eung-Guk Kim,,185,72,L,L,1988,2003,Korea University,1404,,,,1404,Asian,4,,,,,,,,,,
10643,50643,,,1988,9,22,South Korea,,Incheon,,,,,,,Jae-hwan,Kim,,Jae-Hwan Kim,,183,72,L,R,2008,2024,,10643,,,,10643,Asian,4,,,,,,,,,,
1668,41668,,,1973,7,27,South Korea,,Seongnam,,,,,,,Jong-ho,Park,,Jong-Ho Park,,176,69,S,R,1992,2010,,1668,,,,1668,Asian,4,,,,,,,,,,
12906,52906,,,1998,8,20,South Korea,,Seoul,,,,,,,Jung-hoo,Lee,,Jung-Hoo Lee,Grandson of Wind,185,72,L,R,2017,2023,,12906,,,,12906,Asian,4,,,,,,,,,,
10402,50402,,,1971,3,10,South Korea,,Seoul,,,,,,,Soong-yong,Lee,,Soong-Yong Lee,,186,73,L,L,1994,2011,Kyung Hee University,10402,,,,10402,Asian,4,,,,,,,,,,
1865,41865,,,1970,8,14,South Korea,,Busan,,,,,,,Hae-young,Ma,,Hae-Young Ma,Mapo,188,74,R,R,1995,2008,Dankook University,1865,,,,1865,Asian,4,,,,,,,,,,
10493,50493,,,1980,7,10,South Korea,,Changwon,,,,,,,Taek-geun,Lee,,Taek-Geun Lee,,183,72,R,R,2003,2021,Korea University,10493,,,,10493,Asian,4,,,,,,,,,,
10394,50394,,,1987,4,5,South Korea,,Gwangju,,,,,,,Jung-ho,Kang,,Jung-Ho Kang,King Kang,183,72,R,R,2006,2014,,10394,,,,10394,Asian,4,,,,,,,,,,
1867,41867,,,1972,10,18,South Korea,,Seoul,,,,,,,Jae-hak,Sim,,Jae-Hak Sim,,183,72,L,L,1995,2008,Korea University,1867,,,,1867,Asian,4,,,,,,,,,,
1196,41196,,,1961,12,3,South Korea,,Pohang,,,,,,,Sung-rae,Kim,,Sung-Rae Kim,,185,72,R,R,1984,2000,Yonsei University,1196,,,,1196,Asian,4,,,,,,,,,,
10266,50266,,,1986,2,25,South Korea,,Gyeongju,,,,,,,Jun-woo,Jeon,,Jun-Woo Jeon,,184,72,R,R,2008,2024,Konkuk University,10266,,,,10266,Asian,4,,,,,,,,,,
10264,50264,,,1977,1,20,South Korea,,Seoul,,,,,,,Soo-keun,Jung,,Soo-Keun Jung,,178,70,L,L,1995,2009,Sehan University,10264,,,,10264,Asian,4,,,,,,,,,,
1062,41062,,,1954,5,23,South Korea,,Seoul,,,,,,,Jae-bak,Kim,,Jae-Bak Kim,,174,68,R,R,1982,1992,Yeungnam University,1062,,,,1062,Asian,4,,,,,,,,,,
10574,50574,,,1973,11,27,South Korea,,Seoul,,,,,,,Young-woo,Lee,,Young-Woo Lee,,181,71,L,L,1996,2010,Konkuk University,10574,,,,10574,Asian,4,,,,,,,,,,
11224,51224,,,1995,10,17,South Korea,,Seongnam,,,,,,,Ha-sung,Kim,,Ha-Sung Kim,,179,70,R,R,2014,2023,,11224,,,,11224,Asian,4,,,,,,,,,,
10855,50855,,,1989,8,22,South Korea,,Gwangju,,,,,,,Geon-chang,Seo,,Geon-Chang Seo,,176,69,L,R,2008,2024,,10855,,,,10855,Asian,4,,,,,,,,,,
1561,41561,,,1969,1,27,South Korea,,Busan,,,,,,,Jung-tae,Park,,Jung-Tae Park,,174,68,R,R,1991,2004,Kyungsung University,1561,,,,1561,Asian,4,,,,,,,,,,
1250,41250,,,1961,4,18,South Korea,,Gwangju,,,,,,,Soon-chul,Lee,,Soon-Chul Lee,,173,68,R,R,1985,1998,Yonsei University,1250,,,,1250,Asian,4,,,,,,,,,,
1281,41281,,,1964,3,5,South Korea,,Incheon,,,,,,,Dong-ki,Kim,,Dong-Ki Kim,,,,R,R,1986,1996,Inha University,1281,,,,1281,Asian,4,,,,,,,,,,
11190,51190,,,1990,2,24,South Korea,,Seoul,,,,,,,Hae-min,Park,,Hae-Min Park,,180,70,L,R,2013,2024,Hanyang University,11190,,,,11190,Asian,4,,,,,,,,,,
1195,41195,,,1961,4,28,South Korea,,Busan,,,,,,,Min-ho,Kim,,Min-Ho Kim,,183,72,L,L,1984,1996,Dongguk University,1195,,,,1195,Asian,4,,,,,,,,,,
12995,52995,,,1990,5,24,United States,,,,,,,,,Mel,Rojas Jr,,Mel Rojas Jr,,189,74,S,R,2017,2024,,12995,,,,12995,Asian,4,,,,,,,,,,
10192,50192,,,1980,6,18,South Korea,,Seoul,,,,,,,Jong-wook,Lee,,Jong-Wook Lee,,176,69,L,L,2006,2018,Yeungnam University,10192,,,,10192,Asian,4,,,,,,,,,,
10469,50469,,,1984,3,31,South Korea,,Seongnam,,,,,,,Kyeong-su,Park,,Kyeong-Su Park,,178,70,R,R,2003,2024,Korea National Open University,10469,,,,10469,Asian,4,,,,,,,,,,
1380,41380,,,1965,10,19,South Korea,,Seoul,,,,,,,Sang-ho,Kim,,Sang-Ho Kim,,180,70,R,R,1988,2000,Keimyung University,1380,,,,1380,Asian,4,,,,,,,,,,
10174,50174,,,1985,3,21,South Korea,,Seoul,,,,,,,Jae-ho,Kim,,Jae-Ho Kim,,181,71,R,R,2004,2024,,10174,,,,10174,Asian,4,,,,,,,,,,
13285,53285,,,1970,8,19,South Korea,,Seongnam,,,,,,,Tae-won,Choi,,Tae-Won Choi,Iron Man,179,70,R,R,1993,2003,Kyung Hee University,13285,,,,13285,Asian,4,,,,,,,,,,
2067,42067,,,1969,10,3,United States,,,,,,,,,Jay,Davis,,Gerrod Jay Davis,,183,72,L,L,1999,2006,,2067,,,,2067,Asian,4,,,,,,,,,,
