LahmanPlayerID,Year,UniNo,,,
1112,1982,1,,,
1044,1982,2,,,
1016,1982,3,,,
1027,1982,4,,,
1042,1982,6,,,
1052,1982,7,,,
1028,1982,8,,,
1034,1982,10,,,
1038,1982,11,,,
1053,1982,12,,,
1115,1982,14,,,
1022,1982,16,,,
1079,1982,17,,,
1069,1982,18,,,
1051,1982,20,,,
1025,1982,22,,,
1116,1982,26,,,
1104,1982,27,,,
1037,1982,29,,,
1043,1982,37,,,
1091,1982,38,,,
1041,1982,44,,,
1162,1982,72,,,
1112,1983,1,,,
1044,1983,2,,,
1016,1983,3,,,
1027,1983,4,,,
1168,1983,6,,,
1052,1983,7,,,
1043,1983,8,,,
1186,1983,9,,,
1142,1983,10,,,
1038,1983,11,,,
1053,1983,12,,,
1115,1983,14,,,
1149,1983,15,,,
1022,1983,16,,,
1079,1983,17,,,
1172,1983,18,,,
1182,1983,19,,,
1051,1983,20,,,
1156,1983,21,,,
1025,1983,22,,,
1037,1983,24,,,
1150,1983,25,,,
1116,1983,26,,,
1104,1983,27,,,
1171,1983,28,,,
1173,1983,29,,,
1034,1983,33,,,
1041,1983,44,,,
1162,1983,72,,,
1112,1984,1,,,
1044,1984,2,,,
1016,1984,3,,,
1027,1984,4,,,
1196,1984,5,,,
1168,1984,6,,,
1052,1984,7,,,
1043,1984,8,,,
1186,1984,9,,,
1142,1984,10,,,
1214,1984,11,,,
1053,1984,12,,,
1231,1984,13,,,
1149,1984,15,,,
1022,1984,16,,,
1079,1984,17,,,
1172,1984,18,,,
1182,1984,19,,,
1051,1984,20,,,
1156,1984,21,,,
1025,1984,22,,,
1199,1984,23,,,
1197,1984,24,,,
1150,1984,25,,,
1116,1984,26,,,
1104,1984,27,,,
1218,1984,28,,,
1173,1984,29,,,
1034,1984,31,,,
1038,1984,33,,,
1037,1984,35,,,
1115,1984,36,,,
1171,1984,38,,,
1229,1984,41,,,
1041,1984,44,,,
1222,1984,48,,,
1294,1985,0,,,
1112,1985,1,,,
1044,1985,2,,,
1034,1985,2,,,
1016,1985,3,,,
1027,1985,4,,,
1196,1985,5,,,
1168,1985,6,,,
1237,1985,7,,,
1043,1985,8,,,
1235,1985,8,,,
1186,1985,9,,,
1142,1985,10,,,
1141,1985,11,,,
1053,1985,12,,,
1231,1985,13,,,
1149,1985,15,,,
1022,1985,16,,,
1079,1985,17,,,
1172,1985,18,,,
1182,1985,19,,,
1051,1985,20,,,
1156,1985,21,,,
1025,1985,22,,,
1199,1985,23,,,
1197,1985,24,,,
1150,1985,25,,,
1104,1985,27,,,
1218,1985,28,,,
1173,1985,29,,,
1037,1985,31,,,
1257,1985,31,,,
1214,1985,32,,,
1115,1985,36,,,
1171,1985,38,,,
1229,1985,41,,,
1252,1985,43,,,
1041,1985,44,,,
1261,1985,47,,,
1222,1985,48,,,
1112,1986,1,,,
1034,1986,2,,,
1016,1986,3,,,
1027,1986,4,,,
1196,1986,5,,,
1168,1986,6,,,
1237,1986,7,,,
1186,1986,9,,,
1142,1986,10,,,
1141,1986,11,,,
1053,1986,12,,,
1231,1986,13,,,
1315,1986,14,,,
1257,1986,15,,,
1022,1986,16,,,
1079,1986,17,,,
1312,1986,18,,,
1182,1986,19,,,
1051,1986,20,,,
1156,1986,21,,,
1025,1986,22,,,
1199,1986,23,,,
1197,1986,24,,,
1150,1986,25,,,
1104,1986,27,,,
1218,1986,28,,,
1173,1986,29,,,
1149,1986,31,,,
1214,1986,32,,,
1044,1986,32,,,
1303,1986,34,,,
1171,1986,38,,,
1272,1986,39,,,
1229,1986,41,,,
1252,1986,43,,,
1261,1986,47,,,
1222,1986,48,,,
1323,1986,49,,,
11467,1987,1,,,
1034,1987,2,,,
1027,1987,4,,,
1196,1987,5,,,
1237,1987,7,,,
1345,1987,8,,,
1186,1987,9,,,
1142,1987,10,,,
1053,1987,12,,,
1231,1987,13,,,
1315,1987,14,,,
1257,1987,15,,,
1022,1987,16,,,
1320,1987,17,,,
1360,1987,17,,,
1312,1987,18,,,
1272,1987,19,,,
1182,1987,19,,,
1344,1987,20,,,
1156,1987,21,,,
1025,1987,22,,,
1150,1987,25,,,
1104,1987,27,,,
1368,1987,28,,,
1173,1987,29,,,
1369,1987,31,,,
1044,1987,32,,,
1303,1987,34,,,
1367,1987,35,,,
1171,1987,38,,,
1229,1987,41,,,
1252,1987,43,,,
1214,1987,44,,,
1261,1987,47,,,
1222,1987,48,,,
1323,1987,49,,,
11467,1988,1,,,
1034,1988,2,,,
1417,1988,3,,,
1027,1988,4,,,
1196,1988,5,,,
1237,1988,7,,,
1345,1988,8,,,
1186,1988,9,,,
1142,1988,10,,,
1402,1988,11,,,
1416,1988,12,,,
1231,1988,13,,,
1315,1988,14,,,
1022,1988,16,,,
1360,1988,17,,,
1312,1988,18,,,
1272,1988,19,,,
1182,1988,19,,,
1344,1988,20,,,
1156,1988,21,,,
1025,1988,22,,,
1150,1988,25,,,
1374,1988,26,,,
1104,1988,27,,,
1368,1988,28,,,
1173,1988,29,,,
1369,1988,31,,,
1044,1988,32,,,
1303,1988,34,,,
1171,1988,38,,,
1398,1988,39,,,
1229,1988,41,,,
1252,1988,43,,,
1214,1988,44,,,
1222,1988,48,,,
1323,1988,49,,,
1381,1988,54,,,
11467,1989,1,,,
1427,1989,2,,,
1156,1989,3,,,
1027,1989,4,,,
1196,1989,5,,,
1420,1989,6,,,
1237,1989,7,,,
1186,1989,9,,,
1214,1989,10,,,
1191,1989,11,,,
1119,1989,12,,,
1231,1989,13,,,
1315,1989,14,,,
1454,1989,15,,,
1329,1989,16,,,
1360,1989,17,,,
1312,1989,18,,,
1272,1989,19,,,
1344,1989,20,,,
1480,1989,21,,,
1025,1989,22,,,
1009,1989,24,,,
1374,1989,25,,,
1104,1989,27,,,
1228,1989,28,,,
1402,1989,29,,,
1472,1989,30,,,
1417,1989,31,,,
1465,1989,33,,,
11427,1989,35,,,
1486,1989,36,,,
1345,1989,37,,,
1171,1989,38,,,
1398,1989,39,,,
1252,1989,40,,,
1477,1989,41,,,
1447,1989,42,,,
1428,1989,44,,,
1284,1989,45,,,
1429,1989,45,,,
1476,1989,47,,,
1459,1989,48,,,
1323,1989,49,,,
1381,1989,54,,,
1456,1989,55,,,
11467,1990,1,,,
1427,1990,2,,,
1156,1990,3,,,
1027,1990,4,,,
1196,1990,5,,,
1420,1990,6,,,
1237,1990,7,,,
1510,1990,9,,,
